,Désignation ,standardisation des pannes ,"Description de la panne
وصف العطب","Analyse du Problème
(cause)
سبب العطب","Correction
Réparation
التصليح","État  Statut
الحالة / الوضع ","Causes Racines
السبب الجذري ",classification des causes racine,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
"
T12,Tractopelle,P02-Défaillance hydraulique ,Fuite d’huile persistante sur la boîte de vitesses de l'avant-train,"Boîte de vitesses non équipée d’un reniflard, ce qui a entraîné une surpression interne. Cette accumulation de pression a provoqué la détérioration des joints et une fuite d’huile.",Installation de deux flexibles jouant le rôle de reniflard afin d’assurer la mise à l’air et éviter toute nouvelle surpression.,Terminé,Manufacturing defect,Manufacturing defect,"-Identifier les tractopelles avec le même type de moteur et boîte de vitesses et installer préventivement deux flexibles de mise à l’air pour éviter surpression et fuite.
-Vérifier périodiquement la présence et le bon fonctionnement du reniflard ou système de mise à l’air.
-Contrôler la pression interne de la boîte et inspecter régulièrement l’état des joints d’étanchéité."
CO1,Compacteur,P07 - Problème électrique général,Alternateur hors service (en arret à beni khalled),"Alternateur hors service et batterie défaillante sur compacteur, malgré leur remplacement, dus à une  masse électrique, forte accumulation de poussière, ou défaut de câblage.","-Vérification approfondie et nettoyage des masses électriques et des connexions.
-Contrôle de l’intégrité des câbles et de la continuité électrique (masse, câblage alternateur-batterie).
-Nettoyage complet du compartiment moteur pour éliminer poussières et contaminants.
-Contrôle des organes de charge (régulateur, fusibles).",Terminé,Duré de vie des piéces,Wear failure,"-Inspection régulière des masses et connexions électriques.
-Nettoyage périodique du compartiment moteur.
-Surveillance de la tension de courroie et de l’état des câbles.
-Éviter surcharge électrique et protéger contre l’humidité/poussière."
BD1,Bulldozer,P07 - Problème électrique général,Fausse alerte d'un temoin indiquant un probleme d'alternateur ,"fausse alerte : Le témoin de batterie reste allumé sur le tableau de bord, signalant un problème de charge du système électrique mais l’alternateur est en bon état  et  fournit la tension nécessaire à la batteri et  le circuit de charge n'est pas  interrompu.",Réparer faisceau electrique lié au témoin de batterie ,Terminé,"Inspection visuelle périodique lors de l'entretien preventif  du compartiment  moteur du câblage électrique (recherche de fissures, oxydation, dénudement).",Random failure,"lors de l'entretien preventif, contrôle régulier de la tension de charge moteur tournant à l’aide d’un multimètre (attendue : 13,5 à 14,5 V).
Nettoyage et serrage des bornes de batterie et des connecteurs d’alternateur.
Inspection visuelle périodique du câblage électrique (recherche de fissures, oxydation, dénudement).
Vérification du bon état du régulateur de tension, surtout sur les systèmes intégrés à l’alternateur.
Utilisation d’un outil de diagnostic OBD pour lire les éventuels codes d’erreur liés à la charge.
Contrôle de la courroie d’alternateur (tension, usure, patinage)."
TR6,Tracteur Routier,P11 - Panne mécanique,Panne roulement roue avant ,"Jeu anormal détecté au niveau du logement de pivot de direction sur le tracteur routier, causant une large ouverture et une perte de précision de l’orientation des roues avant.","-Remplacement des deux rotules de pivot.
-Rechargement du logement du pivot par soudure à l’arc, pour combler l’usure et redonner du volume au logement.
-Rectification au tour du logement rechargé pour un ajustement précis des rotules neuves.
-Remontage avec contrôle du jeu et graissage.",Terminé,Duré de vie des piéces,Wear failure,"-Contrôle périodique du jeu aux rotules et au pivot de direction.
-Graissage régulier des points de pivotement selon le plan de maintenance.
-Inspection visuelle du porte-fusée et des rotules après utilisation intensive.
-Remplacement préventif des rotules selon les heures de fonctionnement ou dès apparition de jeu.
-Éviter les manœuvres brutales et les surcharges qui accélèrent l’usure des éléments de direction."
G7,Niveleuse,P02 - Défaillance hydraulique,Frottement et usure du flexible hydraulique de rotation de lame,"Le flexible hydraulique assurant la rotation de la lame présente un frottement anormal, entraînant une dégradation prématurée du flexible et un dysfonctionnement potentiel du système de rotation.","-Remplacement du flexible hydraulique défectueux par un flexible neuf conforme aux spécifications constructeur.
-Réajustement du passage du flexible pour éviter tout contact avec les surfaces susceptibles de provoquer frottement ou écrasement.
-Installation de protections supplémentaires (gaine anti-abrasion, guides) si nécessaire.
-Vérification de la mobilité de la lame et du système hydraulique pour s’assurer de l’absence de contraintes anormales.",Terminé,Duré de vie des piéces,Wear failure,#NOM?
B7,Mini Chargeuse,P04 - Surchauffe moteur,Dysfonctionnement du manocontact de température d'huile moteur,Le capteur (manocontact) est endommagé accidentellement par le mécanicien lors d’interventions précédentes car il ne se bouche pas naturellement.,#NOM?,Terminé,Duré de vie des piéces et LDR NON CONFORME,Wear failure,"Vérification régulière de l’état du capteur et du câblage.
Contrôle périodique du circuit de refroidissement.
Nettoyage régulier du radiateur pour éviter toute obstruction.
Remplacement préventif du thermostat selon les heures d’utilisation recommandées"
C12,Cylindre,"P05 - Usure lame, axe ou articulation",Usure du demi-arbre de roue et jeu anormal dans la couronne du réducteur de moyeu," L’usure avancée du demi-arbre de roue a engendré un frottement excessif, entraînant un jeu important dans la couronne du réducteur de moyeu.
",#NOM?,Terminé,Duré de vie des piéces,Wear failure,"Surveillance régulière des jeux dans les transmissions de roue.
Contrôle et remplacement périodique des lubrifiants du réducteur.
Inspection visuelle et mécanique des composants (couronne +demi-arbre +roue) après un nombre d’heures défini.à chaque vidange ?"
F2,Finisseur,P10 -accident suite à un choc,Rupture de la chenille suite à un choc ,Rupture brutale de la chenille causée par un choc direct avec un regard ,Remplacement complet de la chenille endommagée.,Terminé,manque d'attention de l'opérateur,Misuse failure,"Inspection visuelle quotidienne de la voie de roulement.
Sensibilisation des opérateurs à la détection des obstacles.
Amélioration du balisage et du repérage des regards sur les zones de travail."
P1,Pelle ,P99 - Autre panne,Moteur ne démarre pas malgré révision ( A verifier),"Après une révision moteur, le moteur ne démarre toujours pas. Inspection approfondie a révélé plusieurs anomalies mécaniques  (vilebrequin, chemises, pistons, coussinets, soupapes) à cause de l’intrusion de poussières et débris suite à jauge d’huile et bouchon moteur laissés ouverts précedemment.","Révision complète du moteur, incluant :
Remplacement des chemises et pistons,
Installation d’une pochette complète d’étanchéité (interne + externe),
Changement des coussinets de ligne d’arbre à cames et de bielles, 
Remplacement des soupapes . 
Remplacement du vilebrequin",Terminé,"Jauge d’huile laissée ouverte par le conducteur.
Bouchon de logement moteur non refermé correctement.
Intrusion de corps étrangers (poussières, ferraille) due à u à l’oubli du bouchon ouvert.
Usure du vilebrequin et des composants internes suite à frottements anormaux.
",Wear failure,"Vérification systématique du bouchon de jauge et des trappes moteur après chaque intervention.
Formation et sensibilisation des conducteurs à l’importance des vérifications de routine.
Mise en place d’un contrôle de conformité après maintenance (check-list de fermeture et serrage).
Surveillance régulière de la  lubrification pour prévenir toute usure prématurée.
"
CH4,Chargeuse,P02 - Défaillance hydraulique,Présence d’un bouchon plastique dans la pompe hydraulique,"Le bouchon plastique introduit accidentellement dans le circuit a provoqué un blocage partiel de la pompe hydraulique, entraînant une baisse de performance et un risque de détérioration des organes internes.","Remplacement de 2 para-huiles (filtres hydrauliques du surplus de gaz et vapeur).
Remplacement de 2 crousillons du.
Remplacement du cardan ( transmission de puissance hydraulique au niveau de la pompe ).
Nettoyage complet du circuit hydraulique pour éliminer toute trace de plastique.",Terminé,bouchon plastique ,Misuse failure,"Mise en place d’un protocole strict de fermeture et protection des orifices lors des interventions.
Contrôle périodique des filtres et remplacement préventif des para-huiles.
Formation des opérateurs et techniciens sur le risque   des contaminations internes.
Inspection régulière du circuit pour détecter toute présence de débris."
B14,Mini Chargeuse,P02 - Défaillance hydraulique,"Fuite d’huile hydraulique + panne manette d’accélérateur 
Perte de pression et risque de défaillance hydraulique liés à la fuite.","

Dysfonctionnement de la manette d’accélérateur entraînant une perte de contrôle du régime moteur.","Identifier l’origine de la fuite, Réparer ou remplacer les composants défectueux, Refaire le niveau d’huile, Vérifier la pression du circuit, Nettoyer la zone",Terminé,Duré de vie des piéces,Wear failure,#NOM?
B15,Mini Chargeuse,P09 -Fuite de gasoil ,"Fuite de gasoil 
( risque d’incendie, de pollution et de baisse d’autonomie",".

Présence d’impuretés dans le réservoir favorisant l’usure du circuit d’alimentation.",remplacement des joints d'étencheité ,terminé,Duré de vie des joints,Wear failure,"changement du filtre carburant Inspection durites et raccords (usure/fissures ,et odeur gazoil intense au niveau de la diurite).
Contrôle visuel d’étanchéité
Tous les 250 h (avec la vidange moteur)
Remplacement préventif des joints de conduites carburant
Tous les 2 000"
B15,Mini Chargeuse,P09 -Fuite de gasoil ,"Fuite de gasoil 
( risque d’incendie, de pollution et de baisse d’autonomie",".

Présence d’impuretés dans le réservoir favorisant l’usure du circuit d’alimentation.",remplacement des joints d'étencheité ,terminé,Duré de vie des joints,Maintenance-related failure,"changement du filtre carburant Inspection durites et raccords (usure/fissures ,et odeur gazoil intense au niveau de la diurite).
Contrôle visuel d’étanchéité
Tous les 250 h (avec la vidange moteur)
Remplacement préventif des joints de conduites carburant
Tous les 2 000"
C15,Cylindre ,P10 -accident suite à un choc,Bras endommagé suite à un choc,Déformation et/ou fissuration suite à un choc sur chantier.,"Soudure des zones fissurées.

Dressage du bras pour rétablir sa forme initiale.",Terminé,manque d'attention de l'opérateur,Misuse failure,
C13,Cylindre ,"P05 - Usure lame, axe ou articulation",Rupture de l’axe de rotation du cylindre,"L’axe de rotation s’est rompu en deux, probablement dû à un couple de torsion excessif.

Cette rupture a été aggravée par une usure avancée ou une fissure mal réparée.","Remplacement complet de l’axe de rotation.

Graissage systématique de l’axe et des points mobiles.

Remplacement de 2 électrovannes Fibreu.

Réparation du faisceau électrique.
",Terminé,manque de graissage,Maintenance-related failure,"-Inspection régulière de l’état de l’axe et des composants associés.
-Lubrification périodique selon recommandations constructeur.
-Surveillance des efforts mécaniques pour éviter les surcharges.
-Contrôle et maintenance du système électrique (électrovannes et faisceau).
"
B7,Mini Chargeuse,P04 - Surchauffe moteur,Surchauffe du moteur ,"Radiateur encrassé ou bouché réduisant l’échange thermique.

Pompe à eau défectueuse empêchant la circulation correcte du liquide de refroidissement.","Nettoyage radiateur.

Nettoyage approfondi (circuit de lubrification du moteur ""ailettes et passages"" ).
",Terminé,"Manque d’entretien régulier du système de refroidissement et utlisiation de produit non conforme,",Maintenance-related failure,"-Lavage et inspection du radiateur toutes les 100–150 heures pour environnements poussiéreux.
-Vérification régulière du fonctionnement de la pompe à eau.
-Contrôle du niveau et qualité du liquide de refroidissement.
-Sensibilisation des opérateurs à l’importance du refroidissement moteur."
C4,"Cylindre pneumatique ""monobulle""",P04 - Surchauffe moteur,Surchauffe du moteur ,radiateur colmaté,"Nettoyage radiateur.

À vérifier : Nettoyage approfondi (circuit de lubrification du moteur ""ailettes et passages"" ). ",Terminé,LDR non conforme,Random failure,#NOM?
CH13,Chargeuse,P04 - Surchauffe moteur,Surchauffe du moteur ,"Surchauffe causée par un échangeur thermique encrassé ou une fuite de liquide de refroidissement (LDR).

Ventilateur inefficace réduisant la dissipation de chaleur.",Entretien complet et lavage de l’échangeur thermique.,Terminé,LDR non conforme,Random failure,"-Inspection régulière de l’échangeur et du circuit de refroidissement.
-Contrôle périodique du niveau et de l’état du liquide de refroidissement.
-Vérification du bon fonctionnement du ventilateur.
-Nettoyage périodique tous les 250 à 500 heures pour éviter l’accumulation de poussières."
P3,Pelle ,P11 - Panne mécanique,Porte-vérin endommagé,l'Usure ou dégradation du porte-vérin  entraine un Risque de jeu excessif ou fuite hydraulique.,"Remplacement d'axe, des joints d'étencheité et des bagues usés.

",Terminé,manque de lubrification,Random failure,#NOM?
T13,Tractopelle,P07 - Problème électrique général,Problème de démarreur,Démarreur défectueux empêchant le moteur de démarrer correctement.,"Remplacement complet du démarreur.
",Terminé,duré de vie d'alternateur ,Wear failure,"-Contrôle serrage des bornes et câbles et Nettoyage oxydation éventuelle.
-Test périodique du démarreur (Faire tourner le démarreur à vide + Mesurer intensité absorbée et tension)
-Protection contre l’humidité et la corrosion des composants électriques (Utiliser graisses ou sprays isolants sur bornes ou Protéger câblage avec gaines/étanchéité)."
T11,Tractopelle,P02 - défaillance hydraulique,Fuite d’huile et échappement,"Fuite d’huile au niveau du convertisseur et du cardan.

Fuite d’huile sur la roue avant (parahuile).

Fuite d’huile dans la boîte de vitesses, causant surchauffe.

Échappement lié à des fissures ou dommages nécessitant soudure sur le réservoir d’huile.
","Changement du distributeur hydraulique.

Remplacement ou réparation de la boîte de vitesses.

Soudure des fuites sur le réservoir d’huile et échappement.",Terminé,"

Défaillance du distributeur hydraulique.

Surchauffe due à un mauvais fonctionnement de la boîte de vitesses.",Random failure,#NOM?
T10,Tractopelle,P02 - Défaillance hydraulique,"Panne commodo, pneus, distributeurs et démarrage+mano température + compteur ","Dysfonctionnement du comodo (commande électrique multifonction).

Problèmes liés aux pneus (usure ou pression insuffisante).

Défauts sur 2 distributeurs hydrauliques de boîte.

Problème de démarrage électrique.

Circuit gasoil encrassé nécessitant nettoyage et remplacement de composants d’étanchéité.","-Remplacement ou réparation des 2 distributeurs hydrauliques de boîte.
-Nettoyage complet du circuit gasoil.
-Remplacement du kit de joints (coupelle, cale).
-Contrôle et maintenance des pneus.
-Changement mano température + compteur de la T11",Terminé,,Random failure,#NOM?
T8,Tractopelle,P07 - Problème électrique général,Coupure de courant due à des  fils électriques,"Interruption de l’alimentation électrique causée par des fils déconnectés ou retirés.

",#NOM?,Terminé,manque d'inspection cablage faisceau electrique lors de l'entretien préventif,Maintenance-related failure,#NOM?
T8,Tractopelle,P07 - Problème électrique général,Coupure de courant due à des  fils électriques,"Interruption de l’alimentation électrique causée par des fils déconnectés ou retirés.

",#NOM?,Terminé,manque d'inspection cablage faisceau electrique lors de l'entretien préventif,Random failure,#NOM?
CH6,Chargeuse,"P04 - Surchauffe moteur
P09 -Fuite de gasoil ",Fuite d’eau pompe à eau / fuite gasoil injecteur,#NOM?,"Remplacement ou réparation des joints et pièces défectueuses de la pompe à eau.
Réparation ou remplacement des joints et composants des injecteurs.
Vérification et réparation du système d’amortissement.
",Terminé,durée de vie des pièces (pomope à eau et injecteurs),Wear failure,#NOM?
B3,Mini Chargeuse,P11 - Panne mécanique,Problème de goujon,"Goujon endommagé ou cassé affectant la fixation des roues
","Remplacement des goujons sur les 4 roues
",Terminé,Couple élevée,Random failure,"-Vérification régulière de l’état des goujons.
-Contrôle du serrage et fixation correcte des roues.
-Éviter les surcharges et chocs violents."
G4,Niveleuse ,"P05 - Usure lame, axe ou articulation","Usure des cales, lames, pignons, amortissement et distributeurs","-Les cales, lames et pignons sont usés, ce qui réduit l’efficacité de la machine.
-Le système d’amortissement est défaillant, affectant la stabilité.
-Deux distributeurs hydrauliques doivent être remplacés",#NOM?,Terminé,"durée de vie des pièces (cales, lames, pignons, amortisseurs et distributeurs)",Wear failure,"un stock de sécurité des piéces (,,,,,,,) pour éviter la rupture en cas de délai d’approvisionnement.
Contrôle régulier des pièces d’usure.
Entretien périodique du système d’amortissement.
Vérification des distributeurs et remplacement préventif."
T16,Tractopelle,P07 - Problème électrique général,Croie alternateur défectueuse,"La courroie d’alternateur est usée ou cassée, empêchant la recharge de la batterie et le bon fonctionnement électrique.",changement de courroie,Terminé,duré de vie de courroie,Wear failure,"-Contrôle régulier de l’état et de la tension de la courroie.
-Remplacement préventif avant rupture."
T8,Tractopelle,P07 - Problème électrique général,Problèmes de démarrage,"Démarreur défectueux
",changement de démarreur,Terminé,fin de vie de démarreur,Wear failure,#NOM?
C1,Cylindre ,P07 - Problème électrique général,Problème électrique marche avant et arrière,Dysfonctionnement du système électrique contrôlant les mouvements avant et arrière.,changement de selecteur de vitesse + changement d'alternateur,Terminé,Manufacturing defect,Manufacturing defect,#NOM?
T10,Tractopelle,P07 - Problème électrique général,mano temperature moteur+comodo +entretien,oxydation des fils electrique,"entretien complet fait , réparation faisceau mano temperature et comodo",Terminé,Infiltration d’humidité dans le faisceau électrique due à une protection insuffisante des connecteurs et à un mauvais routage des câbles exposés aux projections d’eau ou aux lavages.,Maintenance-related failure,Pose de gain(es) thermo-rétractable(s) chauffante(s) sur les câbles réparés et les jonctions pour assurer une étanchéité durable.
P2,Pelle ,P07 - Problème électrique général,courroie alternateur,duré de vie de courroie,changement de courroie et alternateur,Terminé,Duré de vie des pieces,Wear failure,
G9,Niveleuse,P11 - Panne mécanique,flexible de frein,fin de vie de flexible,changement de flexible de frein et purger tout le système,Terminé,Duré de vie de flexible,Wear failure,
B13,Mini Chargeuse,P11 - Panne mécanique,deux pneus usés,fin de vie des pneus ,changement des pneus neuf ,Terminé,Duré de vie des pneus,Wear failure,
CH4,Chargeuse,P02 - Défaillance hydraulique,Pression hydraulique insuffisante,Pompe à huile obstruée par huile contaminée,démontage de carter et rincage de crépine de pompe a huile et changement des injecteurs,Terminé,"Huile sale ou vieille, il n’ y pas eu changement d'huile à temps pendant la vidange",Wear failure,"Utilisation huile adaptée et ne pas dépassé la période de vidange 
"
G7,Niveleuse,"P05 - Usure lame, axe ou articulation",Système de lame (cales et tige )d’une niveleuse : jeu excessif et perte de précision de nivellement.,Usure mécanique des cales et de l’axe due aux frottements répétés et manque de lubrification,démontage du système de lame et changement d'axe et cales ,Terminé, insuffisance de graissage régulier et absence de contrôle périodique du jeu +Durée de vie atteinte des cales et axes ,Wear failure,
FR1,Fraiseuse,P04 - Surchauffe moteur,Température élevée ,Surchauffe moteur due à un radiateur colmaté par des feuilles d’arbre aspirées par le ventilateur dans la zone verte de Morneg.,Nettoyage complet du radiateur.,Terminé,manque de lavage,Maintenance-related failure,#NOM?
P9,Pelle,P07 - Problème électrique général,Alternateur + batterie,"batterie + roulement alternateur defectueux (probleme ddu rotor ""induit"" qui est cher donc vaut mieux proceder au remplacement de tout l'alternateur) et regulateur fin de vie",changement alternateur et batterie,Terminé,Duré de vie des pieces,Wear failure,mesurer tension alternateur avec multimètre
P3,Pelle,P07 - Problème électrique général,Démarreur,"Aucune alimentation n’arrive au démarreur,  ou le démarreur est en fin de vie",Nettoyage les cosses des fils  avec un produit antioxydant WD40 et resserrage des connexions électriques.,Terminé,Oxydation ou mauvais contact électrique au niveau des cosses,Random failure,Intégrer un contrôle périodique des connexions électriques (tous les 250 h)
CP2,Compresseur,P04 -Surchauffe moteur,Système de refroidissement,"manque de LDR
 et radiateur boucher
pompe à eau defectuex",changement de radiateur  et rincage de tout le circuit de refroidissement,Terminé,qualite du LDR ,Random failure,"analyse du LDR  chez SOTULIB ou SpectroLab International SA ou MediClean | Fluides Auto
"
T5,Tractopelle,P07 - Problème électrique général,probleme Electrique pas de contact ou temoin allumé en continu,oxydation des fils electrique,Réparation du faisceau electrique ,Terminé,"Vieillissement naturel du câble
Exposition du faisceau électrique à l’humidité, à la poussière
rat 
Détérioration du faisceau électrique causée par des rongeurs (morsures entraînant court-circuit ou perte de continuité).",Wear failure,"Nettoyage régulier, répulsifs, gaines blindées."
T7,Tractopelle,"P02 - Défaillance hydraulique
P09 -Fuite de gasoil",Vérin +circuit carburant,"Usure des éléments d’étanchéité du vérin ou manque d’huile dans le système.
Présence d’impuretés, de saletés ou obstruction du circuit de carburant.","changement des éléments nécessaire de vérin (parahuile) ou purger le circuit d'huile.
vérification de tout le circuit de carburant (reservoir,tuyauterie, pompe à gazoil)  et changement du filtre de carburant.",Terminé,"Manque d'entretien (lavage) (
 
Usure naturelle (étanchéité du vérin)

mauvaise qualité carburant : Contamination / manque de filtration (circuit carburant)

Défaut d’entretien préventif (remplacement fluide/filtre non respecté)",Wear failure,"lavage quotidien (un torchom imbibé d'un produit antioxydant puis graissage avec un pinceau), changement de parahuile"
C4,Cylindre,P11 - Panne mécanique,Tendeur + courroie,durée de vie de courroie + tendeur,changement de kit courroie  + tendeur,Terminé,Duré de vie des pieces,Wear failure,
