"ID Intervention
عرّف التدخُّل","Matériel
en panne 
المعدّات او الجهاز المعطَّل",Désignation ,Localisation de la panne ,Marque,Numéro de Série / العدد الرتبي, Immatricule /لوحة التسجيل ,Matériel sous garantie,standardisation des pannes ,"Description de la panne
وصف العطب","Date de Détection
تاريخ اكتشاف العطب","Analyse du Problème
(cause)
سبب العطب",Diagnostic Recommandé (théorique),"Date prévue d'intervention
التاريخ المُتوقَّع للتدخُّل","Date Effective d’Intervention
التاريخ الفعلي للتدخُّل
",Date fin  d’Intervention ,"Correction
Réparation
التصليح","Réparation en interne
المسؤول عن التدخّل

","Réparation en externe
الصيانة الخارجية","Pièces de rechange
 قطع الغيار المستخدمة",,,,," Date Fin d’Intervention
تاريخ انتهاء التدخُّل","État  Statut
الحالة / الوضع ","Causes possibles
الاحتمالات","Causes Racines
السبب الجذري ",classification des causes racine,obs,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
","Vérification Post Intervention
التحقُّق بعد التدخُّل","Commentaires
 الملاحظات ","catégorie de panne en terme de disponibilité des pieces de rechanges
(non disponible,difficilement accessible, disponible) ","catégorie de panne en terme de cout
 ( pas cher, moyen, cher)","catégorie de panne en terme de complexité 
 ( facile, intermediaire, difficile)"
,T12,Tractopelle,,HIDROMEK,HMK102BTK35A20654,23111ES,,P02-Défaillance hydraulique ,Fuite d’huile persistante sur la boîte de vitesses de l'avant-train,5/1/2025,"Boîte de vitesses non équipée d’un reniflard, ce qui a entraîné une surpression interne. Cette accumulation de pression a provoqué la détérioration des joints et une fuite d’huile."," Déposer la boîte avant ; l’ouvrir sur établi.
• Remplacer tous les joints SPI, joints toriques et joints papier.
• Contrôler lisse d’arbre ; polir ou baguer si rayée.
• Vérifier roulements, engrenages ; remplacer si traces de chauffe/usure.
• Contrôler et dégager le reniflard.
• Reposer au couple constructeur avec pâte d’étanchéité adaptée.
• Faire essai de pression et remplir avec huile conforme API/viscosité constructeur.",6/29/2025,,6/30/2025,Installation de deux flexibles jouant le rôle de reniflard afin d’assurer la mise à l’air et éviter toute nouvelle surpression.,,,,,,,,6/30/2025,Terminé,,Défaut de fabrication,Défaut de fabrication,"chaque panne liée à une fuite d'huile est considéré défaillance hydraulique. 
Un système hydraulique fonctionne toujours avec de l’huile (ou un fluide hydraulique spécifique), parce que :

L’huile transmet la puissance : la pompe met l’huile sous pression et elle actionne les vérins ou moteurs hydrauliques.

Elle assure aussi la lubrification des composants internes (pompe, distributeurs, vérins).

Elle joue un rôle de refroidissement en évacuant une partie de la chaleur générée.

Elle protège contre la corrosion et l’usure grâce aux additifs.

👉 Donc sans huile → pas de pression → le système hydraulique ne peut pas fonctionner.","-Identifier les tractopelles avec le même type de moteur et boîte de vitesses et installer préventivement deux flexibles de mise à l’air pour éviter surpression et fuite.
-Vérifier périodiquement la présence et le bon fonctionnement du reniflard ou système de mise à l’air.
-Contrôler la pression interne de la boîte et inspecter régulièrement l’état des joints d’étanchéité.",,,Disponible,pas cher,Intermédiaire
,CO1,Compacteur,zouari handay,AMMANN,,3742007,,P07 - Problème électrique général,Alternateur hors service (en arret à beni khalled),7/4/2025,"Alternateur hors service et batterie défaillante sur compacteur, malgré leur remplacement, dus à une  masse électrique, forte accumulation de poussière, ou défaut de câblage.","• Remplacer ou réparer l’alternateur (kit balais + régulateur ou échange standard).
• Poser courroie neuve et régler tension au couple constructeur.
• Recharger la batterie au banc puis contrôler son état (test CCA).
• Nettoyer/sertir cosses et masses, appliquer graisse conductive.
• Vérifier consommation globale (projecteurs, accessoires) et dimensionner alternateur si besoin.r.",7/15/2025,,7/15/2025,"-Vérification approfondie et nettoyage des masses électriques et des connexions.
-Contrôle de l’intégrité des câbles et de la continuité électrique (masse, câblage alternateur-batterie).
-Nettoyage complet du compartiment moteur pour éliminer poussières et contaminants.
-Contrôle des organes de charge (régulateur, fusibles).",,,,,,,,,Terminé," -Masse électrique défectueuse ou mal connectée, provoquant une mauvaise continuité électrique.
-Câblage endommagé, oxydé ou mal fixé (faux contact).
-Accumulation importante de poussière et saletés dans le compartiment moteur, isolant les connexions.
-Régulateur de tension défectueux ou circuit de charge endommagé.
-Courroie d’alternateur mal tendue ou usée, empêchant une bonne charge.
-Surcharge électrique non maîtrisée (ajout d’équipements non compatibles).
-Problème interne au moteur électrique de l’alternateur non détecté (bobinage, balais).",Duré de vie des piéces,Panne d'usure,,"-Inspection régulière des masses et connexions électriques.
-Nettoyage périodique du compartiment moteur.
-Surveillance de la tension de courroie et de l’état des câbles.
-Éviter surcharge électrique et protéger contre l’humidité/poussière.",,,Disponible,pas cher,facile
,BD1,Bulldozer,,CATERPILLAR,CAT00D6RES6T00872,S6T00872,,P07 - Problème électrique général,Fausse alerte d'un temoin indiquant un probleme d'alternateur ,6/1/2025,"fausse alerte : Le témoin de batterie reste allumé sur le tableau de bord, signalant un problème de charge du système électrique mais l’alternateur est en bon état  et  fournit la tension nécessaire à la batteri et  le circuit de charge n'est pas  interrompu.",,6/1/2025,,6/1/2025,Réparer faisceau electrique lié au témoin de batterie ,,,,,,,,,Terminé,"Défaillance du témoin lumineux lui-même (ampoule ou circuit de signalisation du combiné d’instrument).
Faux contact ou oxydation au niveau des connecteurs de l’alternateur ou du câblage du témoin.
Usure ou mauvais fonctionnement du régulateur de tension intégré à l’alternateur.
Problème de masse (masse flottante) entre l’alternateur, la batterie ou le châssis.
Tension de sortie stable mais insuffisante sous charge, causée par une faiblesse de l’alternateur non détectée à vide.
Câble de retour (B+) endommagé ou en court-circuit partiel.
Capteur intelligent de batterie (BSM ou IBS) défectueux (selon les modèles modernes).","Inspection visuelle périodique lors de l'entretien preventif  du compartiment  moteur du câblage électrique (recherche de fissures, oxydation, dénudement).",Panne aléatoire,,"lors de l'entretien preventif, contrôle régulier de la tension de charge moteur tournant à l’aide d’un multimètre (attendue : 13,5 à 14,5 V).
Nettoyage et serrage des bornes de batterie et des connecteurs d’alternateur.
Inspection visuelle périodique du câblage électrique (recherche de fissures, oxydation, dénudement).
Vérification du bon état du régulateur de tension, surtout sur les systèmes intégrés à l’alternateur.
Utilisation d’un outil de diagnostic OBD pour lire les éventuels codes d’erreur liés à la charge.
Contrôle de la courroie d’alternateur (tension, usure, patinage).",,,Disponible,moyen,Intermédiaire
,TR6,Tracteur Routier,,LANDINI,TLMLR17109,119550 TRAC,,P11 - Panne mécanique,Panne roulement roue avant ,7/23/2025,"Jeu anormal détecté au niveau du logement de pivot de direction sur le tracteur routier, causant une large ouverture et une perte de précision de l’orientation des roues avant.",,7/27/2025,,7/28/2025,"-Remplacement des deux rotules de pivot.
-Rechargement du logement du pivot par soudure à l’arc, pour combler l’usure et redonner du volume au logement.
-Rectification au tour du logement rechargé pour un ajustement précis des rotules neuves.
-Remontage avec contrôle du jeu et graissage.",,,,,,,,,Terminé,"-Usure excessive des rotules de pivot, provoquant un jeu fonctionnel important.
-Ovalisation ou élargissement du logement du pivot sur le porte-fusée suite à des efforts répétés.
-Absence de graissage régulier, favorisant l’usure par friction.
-Chocs, vibrations et manœuvres en surcharge sur terrains accidentés.
-Fatigue du matériau au niveau du logement du pivot.",Duré de vie des piéces,Panne d'usure,,"-Contrôle périodique du jeu aux rotules et au pivot de direction.
-Graissage régulier des points de pivotement selon le plan de maintenance.
-Inspection visuelle du porte-fusée et des rotules après utilisation intensive.
-Remplacement préventif des rotules selon les heures de fonctionnement ou dès apparition de jeu.
-Éviter les manœuvres brutales et les surcharges qui accélèrent l’usure des éléments de direction.",,,Disponible,pas cher,Intermédiaire
,G7,Nivleuse,,CAT,CAT0012KESZP00369,24260ES,,P02 - Défaillance hydraulique,Frottement et usure du flexible hydraulique de rotation de lame,7/23/2025,"Le flexible hydraulique assurant la rotation de la lame présente un frottement anormal, entraînant une dégradation prématurée du flexible et un dysfonctionnement potentiel du système de rotation.",,7/23/2025,,7/23/2025,"-Remplacement du flexible hydraulique défectueux par un flexible neuf conforme aux spécifications constructeur.
-Réajustement du passage du flexible pour éviter tout contact avec les surfaces susceptibles de provoquer frottement ou écrasement.
-Installation de protections supplémentaires (gaine anti-abrasion, guides) si nécessaire.
-Vérification de la mobilité de la lame et du système hydraulique pour s’assurer de l’absence de contraintes anormales.",,,,,,,,,Terminé,"-Usure mécanique due à des frottements répétés entre le flexible et les éléments mobiles ou structures adjacentes.
-Flexibles mal positionnés ou non protégés, favorisant le contact abrasif.
-Rigidité ou vieillissement du flexible réduisant sa flexibilité et augmentant les risques de frottement.
-Absence de supports ou guides pour maintenir le flexible hors des zones d’usure.
-Conditions environnementales agressives (poussières, projections) accentuant l’abrasion.",Duré de vie des piéces,Panne d'usure,,#NOM?,,,Disponible,moyen,Intermédiaire
,B7,Mini chargeuse ,,CATERPILLAR,CAT0216BKPWK04104,PWK04104,,P04 - Surchauffe moteur,Dysfonctionnement du manocontact de température d'huile moteur,7/23/2025,Le capteur (manocontact) est endommagé accidentellement par le mécanicien lors d’interventions précédentes car il ne se bouche pas naturellement.,probleme au niveau du fil ou changement mano,7/23/2025,,7/23/2025,#NOM?,,,,,,,,,Terminé,#NOM?,Duré de vie des piéces et LDR NON CONFORME,Panne d'usure,,"Vérification régulière de l’état du capteur et du câblage.
Contrôle périodique du circuit de refroidissement.
Nettoyage régulier du radiateur pour éviter toute obstruction.
Remplacement préventif du thermostat selon les heures d’utilisation recommandées",,,Disponible,pas cher,Facile
,C12,Cylindre,,DYNAPAC,,575500,,"P05 - Usure lame, axe ou articulation",Usure du demi-arbre de roue et jeu anormal dans la couronne du réducteur de moyeu,6/7/2025," L’usure avancée du demi-arbre de roue a engendré un frottement excessif, entraînant un jeu important dans la couronne du réducteur de moyeu.
"," • Remplacer le demi‑arbre usé et la couronne trop marquée.
• Contrôler / remplacer roulements, bagues, joints du moyeu.
• Nettoyer soigneusement le carter, rincer à l’huile propre.
• Remplir avec huile réducteur neuve grade constructeur (EP 80W‑90 ou équivalent).
• Régler le jeu backlash selon spécification (cale ou rondelle de réglage).
• Resserrer la roue et le flasque au couple constructeur.
• Faire un essai route : température et bruit OK avant reprise travaux.",6/4/2025,,6/4/2025,#NOM?,AMMAR TAYIB – Resp Maintenance Curative ,,Demi-arbre de roue et couronne,,1,,,6/7/2025,Terminé,#NOM?,Duré de vie des piéces,Panne d'usure,,"Surveillance régulière des jeux dans les transmissions de roue.
Contrôle et remplacement périodique des lubrifiants du réducteur.
Inspection visuelle et mécanique des composants (couronne +demi-arbre +roue) après un nombre d’heures défini.à chaque vidange ?",À planifier,,Disponible,cher,Difficile
,F2,Finisseur,,VOGELE,,14821889,,P10 -accident suite à un choc,Rupture de la chenille suite à un choc ,5/15/2025,Rupture brutale de la chenille causée par un choc direct avec un regard ,,5/20/2025,,5/22/2025,Remplacement complet de la chenille endommagée.,AMMAR TAYIB – Resp Maintenance Curative ,, chenille,,1,,,5/24/2025,Terminé,"Collision violente avec un obstacle rigide (regard non visible ou mal signalé).
Usure préalable ou fragilisation de la chenille.",manque d'attention de l'opérateur,Mauvaise utilisation,,"Inspection visuelle quotidienne de la voie de roulement.
Sensibilisation des opérateurs à la détection des obstacles.
Amélioration du balisage et du repérage des regards sur les zones de travail.",,,Disponible,pas cher,Intermédiaire
,P1,Pelle ,,KOMATSU,PC340NLC-6K,K32256,,P99 - panne moteur,Moteur ne démarre pas malgré révision ( A verifier),7/5/2025,"Après une révision moteur, le moteur ne démarre toujours pas. Inspection approfondie a révélé plusieurs anomalies mécaniques  (vilebrequin, chemises, pistons, coussinets, soupapes) à cause de l’intrusion de poussières et débris suite à jauge d’huile et bouchon moteur laissés ouverts précedemment.",,7/5/2025,,9/30/2025,"Révision complète du moteur, incluant :
Remplacement des chemises et pistons,
Installation d’une pochette complète d’étanchéité (interne + externe),
Changement des coussinets de ligne d’arbre à cames et de bielles, 
Remplacement des soupapes . 
Remplacement du vilebrequin",AMMAR TAYIB – Resp Maintenance Curative ,,un piston,,1,,,7/12/2025,Terminé,,"Jauge d’huile laissée ouverte par le conducteur.
Bouchon de logement moteur non refermé correctement.
Intrusion de corps étrangers (poussières, ferraille) due à u à l’oubli du bouchon ouvert.
Usure du vilebrequin et des composants internes suite à frottements anormaux.
",Panne d'usure,,"Vérification systématique du bouchon de jauge et des trappes moteur après chaque intervention.
Formation et sensibilisation des conducteurs à l’importance des vérifications de routine.
Mise en place d’un contrôle de conformité après maintenance (check-list de fermeture et serrage).
Surveillance régulière de la  lubrification pour prévenir toute usure prématurée.
",7/12/2025,,Disponible,cher,Difficile
,CH4,Chargeuse ,,CAT,CAT00950CM5K01527,30687ES,,P02 - Défaillance hydraulique,Présence d’un bouchon plastique dans la pompe hydraulique,5/25/2025,"Le bouchon plastique introduit accidentellement dans le circuit a provoqué un blocage partiel de la pompe hydraulique, entraînant une baisse de performance et un risque de détérioration des organes internes.",,6/20/2025,,6/25/2025,"Remplacement de 2 para-huiles (filtres hydrauliques du surplus de gaz et vapeur).
Remplacement de 2 crousillons du.
Remplacement du cardan ( transmission de puissance hydraulique au niveau de la pompe ).
Nettoyage complet du circuit hydraulique pour éliminer toute trace de plastique.",AMMAR TAYIB – Resp Maintenance Curative ,,"*pompe hydraulique
*Capteur de pression d’huile
*2 roulements
",,3,,,7/15/2025,Terminé,"Introduction involontaire d’un bouchon lors d’une maintenance ou remplissage d’huile.

Mauvaises pratiques de nettoyage et de protection pendant intervention.

Absence ou défaut de filtration efficace dans le circuit.",bouchon plastique ,mauvaise utilisation,,"Mise en place d’un protocole strict de fermeture et protection des orifices lors des interventions.
Contrôle périodique des filtres et remplacement préventif des para-huiles.
Formation des opérateurs et techniciens sur le risque   des contaminations internes.
Inspection régulière du circuit pour détecter toute présence de débris.",,,Disponible,pas cher,facile
,B14,Mini chargeuse ,,KOMATSU,KMTS004ENUF06077,F06077,ss garantie,P02 - Défaillance hydraulique,"Fuite d’huile hydraulique + panne manette d’accélérateur 
Perte de pression et risque de défaillance hydraulique liés à la fuite.",6/20/2025,"

Dysfonctionnement de la manette d’accélérateur entraînant une perte de contrôle du régime moteur.","Remplacer le flexible ou le joint fautif (toujours utiliser joints/flexibles haute pression conformes).
• Serrer les raccords au couple constructeur avec paste d’étanchéité adaptée (Loctite 542 ou téflon).
• Vidanger/filtrer l’huile si pollution notable ; changer filtre retour.
• Purger l’air du circuit (manœuvres complètes bras/godet).
• Contrôler la mise à l’air du réservoir hydraulique (reniflard propre).",6/20/2025,,6/20/2025,"Identifier l’origine de la fuite, Réparer ou remplacer les composants défectueux, Refaire le niveau d’huile, Vérifier la pression du circuit, Nettoyer la zone",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,,Terminé,"Usure ou détérioration d’un flexible, joint ou raccord hydraulique.

Mauvais serrage ou fissure sur une conduite.

Câble ou commande d’accélérateur endommagé, grippé ou mal réglé.",Duré de vie des piéces,Panne d'usure,,#NOM?,,,Disponible,pas cher,Intermédiaire
