"ID Intervention
عرّف التدخُّل","Matériel
en panne 
المعدّات او الجهاز المعطَّل",Désignation ,Localisation de la panne ,Marque,Numéro de Série / العدد الرتبي, Immatricule /لوحة التسجيل ,Matériel sous garantie,standardisation des pannes ,"Description de la panne
وصف العطب","Date de Détection
تاريخ اكتشاف العطب","Analyse du Problème
(cause)
سبب العطب",Diagnostic Recommandé (théorique),"Date prévue d'intervention
التاريخ المُتوقَّع للتدخُّل","Date Effective d’Intervention
التاريخ الفعلي للتدخُّل
",Date fin  d’Intervention ,"Correction
Réparation
التصليح","Réparation en interne
المسؤول عن التدخّل

","Réparation en externe
الصيانة الخارجية","Pièces de rechange
 قطع الغيار المستخدمة",Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23," Date Fin d’Intervention
تاريخ انتهاء التدخُّل","État  Statut
الحالة / الوضع ","Causes possibles
الاحتمالات","Causes Racines
السبب الجذري ",classification des causes racine,classification des causes racine 2,obs,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
","Vérification Post Intervention
التحقُّق بعد التدخُّل","Commentaires
 الملاحظات ","catégorie de panne en terme de disponibilité des pieces de rechanges
(Not available,Hard to obtain, Available) ","catégorie de panne en terme de cout
 ( Low cost, Medium cost, High cost)","catégorie de panne en terme de complexité 
 ( Easy, intermediaire, Hard)"
,TR6,Road Tractor (Truck Tractor),,LANDINI,TLMLR17109,119550 TRAC,,P11 - Panne mécanique,Panne roulement roue avant ,7/23/2025,"Jeu anormal détecté au niveau du logement de pivot de direction sur le Road Tractor (Truck Tractor), causant une large ouverture et une perte de précision de l’orientation des roues avant.",,7/27/2025,,7/28/2025,"-Remplacement des deux rotules de pivot.
-Rechargement du logement du pivot par soudure à l’arc, pour combler l’usure et redonner du volume au logement.
-Rectification au tour du logement rechargé pour un ajustement précis des rotules neuves.
-Remontage avec contrôle du jeu et graissage.",,,,,,,,,Terminé,"-Usure excessive des rotules de pivot, provoquant un jeu fonctionnel important.
-Ovalisation ou élargissement du logement du pivot sur le porte-fusée suite à des efforts répétés.
-Absence de graissage régulier, favorisant l’usure par friction.
-Chocs, vibrations et manœuvres en surcharge sur terrains accidentés.
-Fatigue du matériau au niveau du logement du pivot.",Duré de vie des piéces,Wear failure,,,"-Contrôle périodique du jeu aux rotules et au pivot de direction.
-Graissage régulier des points de pivotement selon le plan de maintenance.
-Inspection visuelle du porte-fusée et des rotules après utilisation intensive.
-Remplacement préventif des rotules selon les heures de fonctionnement ou dès apparition de jeu.
-Éviter les manœuvres brutales et les surcharges qui accélèrent l’usure des éléments de direction.",,,Available,Low cost,Intermediate
,G7,Grader,,CAT,CAT0012KESZP00369,24260ES,,P02 - Défaillance hydraulique,Frottement et usure du flexible hydraulique de rotation de lame,7/23/2025,"Le flexible hydraulique assurant la rotation de la lame présente un frottement anormal, entraînant une dégradation prématurée du flexible et un dysfonctionnement potentiel du système de rotation.",,7/23/2025,,7/23/2025,"-Remplacement du flexible hydraulique défectueux par un flexible neuf conforme aux spécifications constructeur.
-Réajustement du passage du flexible pour éviter tout contact avec les surfaces susceptibles de provoquer frottement ou écrasement.
-Installation de protections supplémentaires (gaine anti-abrasion, guides) si nécessaire.
-Vérification de la mobilité de la lame et du système hydraulique pour s’assurer de l’absence de contraintes anormales.",,,,,,,,,Terminé,"-Usure mécanique due à des frottements répétés entre le flexible et les éléments mobiles ou structures adjacentes.
-Flexibles mal positionnés ou non protégés, favorisant le contact abrasif.
-Rigidité ou vieillissement du flexible réduisant sa flexibilité et augmentant les risques de frottement.
-Absence de supports ou guides pour maintenir le flexible hors des zones d’usure.
-Conditions environnementales agressives (poussières, projections) accentuant l’abrasion.",Duré de vie des piéces,Wear failure,,,#NOM?,,,Available,Medium cost,Intermediate
,B7,Mini Loader,,CATERPILLAR,CAT0216BKPWK04104,PWK04104,,P04 - Surchauffe moteur,Dysfonctionnement du manocontact de température d'huile moteur,7/23/2025,Le capteur (manocontact) est endommagé accidentellement par le mécanicien lors d’interventions précédentes car il ne se bouche pas naturellement.,probleme au niveau du fil ou changement mano,7/23/2025,,7/23/2025,#NOM?,,,,,,,,,Terminé,#NOM?,Duré de vie des piéces et LDR NON CONFORME,Wear failure,,,"Vérification régulière de l’état du capteur et du câblage.
Contrôle périodique du circuit de refroidissement.
Nettoyage régulier du radiateur pour éviter toute obstruction.
Remplacement préventif du thermostat selon les heures d’utilisation recommandées",,,Available,Low cost,Easy
,C12,Roller,,DYNAPAC,,575500,,"P05 - Usure lame, axe ou articulation",Usure du demi-arbre de roue et jeu anormal dans la couronne du réducteur de moyeu,6/7/2025," L’usure avancée du demi-arbre de roue a engendré un frottement excessif, entraînant un jeu important dans la couronne du réducteur de moyeu.
"," • Remplacer le demi‑arbre usé et la couronne trop marquée.
• Contrôler / remplacer roulements, bagues, joints du moyeu.
• Nettoyer soigneusement le carter, rincer à l’huile propre.
• Remplir avec huile réducteur neuve grade constructeur (EP 80W‑90 ou équivalent).
• Régler le jeu backlash selon spécification (cale ou rondelle de réglage).
• Resserrer la roue et le flasque au couple constructeur.
• Faire un essai route : température et bruit OK avant reprise travaux.",6/4/2025,,6/4/2025,#NOM?,AMMAR TAYIB – Resp Maintenance Curative ,,Demi-arbre de roue et couronne,,1,,,6/7/2025,Terminé,#NOM?,Duré de vie des piéces,Wear failure,,,"Surveillance régulière des jeux dans les transmissions de roue.
Contrôle et remplacement périodique des lubrifiants du réducteur.
Inspection visuelle et mécanique des composants (couronne +demi-arbre +roue) après un nombre d’heures défini.à chaque vidange ?",À planifier,,Available,High cost,Hard
,F2,Paver,,VOGELE,,14821889,,P10 -accident suite à un choc,Rupture de la chenille suite à un choc ,5/15/2025,Rupture brutale de la chenille causée par un choc direct avec un regard ,,5/20/2025,,5/22/2025,Remplacement complet de la chenille endommagée.,AMMAR TAYIB – Resp Maintenance Curative ,, chenille,,1,,,5/24/2025,Terminé,"Collision violente avec un obstacle rigide (regard non visible ou mal signalé).
Usure préalable ou fragilisation de la chenille.",manque d'attention de l'opérateur,Misuse failure,,,"Inspection visuelle quotidienne de la voie de roulement.
Sensibilisation des opérateurs à la détection des obstacles.
Amélioration du balisage et du repérage des regards sur les zones de travail.",,,Available,Low cost,Intermediate
,P1,Excavator,,KOMATSU,PC340NLC-6K,K32256,,P99 - panne moteur,Moteur ne démarre pas malgré révision ( A verifier),7/5/2025,"Après une révision moteur, le moteur ne démarre toujours pas. Inspection approfondie a révélé plusieurs anomalies mécaniques  (vilebrequin, chemises, pistons, coussinets, soupapes) à cause de l’intrusion de poussières et débris suite à jauge d’huile et bouchon moteur laissés ouverts précedemment.",,7/5/2025,,9/30/2025,"Révision complète du moteur, incluant :
Remplacement des chemises et pistons,
Installation d’une pochette complète d’étanchéité (interne + externe),
Changement des coussinets de ligne d’arbre à cames et de bielles, 
Remplacement des soupapes . 
Remplacement du vilebrequin",AMMAR TAYIB – Resp Maintenance Curative ,,un piston,,1,,,7/12/2025,Terminé,,"Jauge d’huile laissée ouverte par le conducteur.
Bouchon de logement moteur non refermé correctement.
Intrusion de corps étrangers (poussières, ferraille) due à u à l’oubli du bouchon ouvert.
Usure du vilebrequin et des composants internes suite à frottements anormaux.
",Wear failure,,,"Vérification systématique du bouchon de jauge et des trappes moteur après chaque intervention.
Formation et sensibilisation des conducteurs à l’importance des vérifications de routine.
Mise en place d’un contrôle de conformité après maintenance (check-list de fermeture et serrage).
Surveillance régulière de la  lubrification pour prévenir toute usure prématurée.
",7/12/2025,,Available,High cost,Hard
,CH4,Loader,,CAT,CAT00950CM5K01527,30687ES,,P02 - Défaillance hydraulique,Présence d’un bouchon plastique dans la pompe hydraulique,5/25/2025,"Le bouchon plastique introduit accidentellement dans le circuit a provoqué un blocage partiel de la pompe hydraulique, entraînant une baisse de performance et un risque de détérioration des organes internes.",,6/20/2025,,6/25/2025,"Remplacement de 2 para-huiles (filtres hydrauliques du surplus de gaz et vapeur).
Remplacement de 2 crousillons du.
Remplacement du cardan ( transmission de puissance hydraulique au niveau de la pompe ).
Nettoyage complet du circuit hydraulique pour éliminer toute trace de plastique.",AMMAR TAYIB – Resp Maintenance Curative ,,"*pompe hydraulique
*Capteur de pression d’huile
*2 roulements
",,3,,,7/15/2025,Terminé,"Introduction involontaire d’un bouchon lors d’une maintenance ou remplissage d’huile.

Mauvaises pratiques de nettoyage et de protection pendant intervention.

Absence ou défaut de filtration efficace dans le circuit.",bouchon plastique ,Misuse failure,,,"Mise en place d’un protocole strict de fermeture et protection des orifices lors des interventions.
Contrôle périodique des filtres et remplacement préventif des para-huiles.
Formation des opérateurs et techniciens sur le risque   des contaminations internes.
Inspection régulière du circuit pour détecter toute présence de débris.",,,Available,Low cost,Easy
,B14,Mini Loader,,KOMATSU,KMTS004ENUF06077,F06077,ss garantie,P02 - Défaillance hydraulique,"Fuite d’huile hydraulique + panne manette d’accélérateur 
Perte de pression et risque de défaillance hydraulique liés à la fuite.",6/20/2025,"

Dysfonctionnement de la manette d’accélérateur entraînant une perte de contrôle du régime moteur.","Remplacer le flexible ou le joint fautif (toujours utiliser joints/flexibles haute pression conformes).
• Serrer les raccords au couple constructeur avec paste d’étanchéité adaptée (Loctite 542 ou téflon).
• Vidanger/filtrer l’huile si pollution notable ; changer filtre retour.
• Purger l’air du circuit (manœuvres complètes bras/godet).
• Contrôler la mise à l’air du réservoir hydraulique (reniflard propre).",6/20/2025,,6/20/2025,"Identifier l’origine de la fuite, Réparer ou remplacer les composants défectueux, Refaire le niveau d’huile, Vérifier la pression du circuit, Nettoyer la zone",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,,Terminé,"Usure ou détérioration d’un flexible, joint ou raccord hydraulique.

Mauvais serrage ou fissure sur une conduite.

Câble ou commande d’accélérateur endommagé, grippé ou mal réglé.",Duré de vie des piéces,Wear failure,,,#NOM?,,,Available,Low cost,Intermediate
,B15,Mini Loader,,KOMATSU,KMTS004ERUF06080,F06080,ss garantie,P09 -Fuite de gasoil ,"Fuite de gasoil 
( risque d’incendie, de pollution et de baisse d’autonomie",6/20/2025,".

Présence d’impuretés dans le réservoir favorisant l’usure du circuit d’alimentation."," 1. Essuyage / nettoyage moteur et réservoir, puis observation moteur tournant.
2. Tampon papier absorbant sur chaque raccord ; tâche humide = fuite.
3. Seringue + pression faible (pompe manuelle) pour repérer gouttes sous pression.
4. Traceur fluorescent (additif UV) si la fuite est minime ou diffuse.
5. Contrôle retour injecteurs : débit > tolérance = pointeau usé.",6/20/2025,,6/20/2025,remplacement des joints d'étencheité ,AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,,terminé,"Changement de type d’huile ayant pu dégrader certains joints ou durites compatibles uniquement avec l’ancien fluide.

Contamination du réservoir par des particules solides (poussière, boue, rouille).

Vieillissement ou fissuration d’une durite ou raccord gasoil.",Duré de vie des joints,Maintenance-related failure ,Wear failure,le gazoil asseche le plastique des joints à long terme,"changement du filtre carburant Inspection durites et raccords (usure/fissures ,et odeur gazoil intense au niveau de la diurite).
Contrôle visuel d’étanchéité
Tous les 250 h (avec la vidange moteur)
Remplacement préventif des joints de conduites carburant
Tous les 2 000",,,Available,Low cost,Easy
,C15,Roller,,BOMAG,,9.62E+11,,P10 -accident suite à un choc,Bras endommagé suite à un choc,6/23/2025,Déformation et/ou fissuration suite à un choc sur chantier.,,6/23/2025,,6/23/2025,"Soudure des zones fissurées.

Dressage du bras pour rétablir sa forme initiale.",,,,,,,,6/23/2025,Terminé,"Impact avec un obstacle ou chute de charge lourde.

Mauvaise manipulation ou erreur d’opérateur.",manque d'attention de l'opérateur,Misuse failure,,,,,,Available,Low cost,Intermediate
,C13,Roller,Sidi Thabet ,JCB VIBRROMAX,,1701002,,"P05 - Usure lame, axe ou articulation",Rupture de l’axe de rotation du Roller,7/5/2025,"L’axe de rotation s’est rompu en deux, probablement dû à un couple de torsion excessif.

Cette rupture a été aggravée par une usure avancée ou une fissure mal réparée.","• Usiner ou commander un axe neuf en acier allié conforme au plan d’origine.
• Rectifier ou remplacer paliers et bagues si ovalisés.
• Remonter en respectant l’alignement (< 0,05 mm de faux‑rond) et le couple de serrage recommandé.
",8/2/2025,,8/2/2025,"Remplacement complet de l’axe de rotation.

Graissage systématique de l’axe et des points mobiles.

Remplacement de 2 électrovannes Fibreu.

Réparation du faisceau électrique.
",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,8/2/2025,Terminé,"Surcharge mécanique ou utilisation au-delà des limites.

Usure prolongée sans remplacement ni réparation adéquate.

Défaut de maintenance ou réparation antérieure insuffisante.",manque de graissage,Maintenance-related failure,,,"-Inspection régulière de l’état de l’axe et des composants associés.
-Lubrification périodique selon recommandations constructeur.
-Surveillance des efforts mécaniques pour éviter les surcharges.
-Contrôle et maintenance du système électrique (électrovannes et faisceau).
",,,Available,High cost,Intermediate
